Instance, E-n51-k5
capacity, 160
min_trucks, 5
output_file, output_farley/E-n51-k5-SPPRC.log
Start date, 2022-07-07
Start time, 12-58-51
capacity, 160
num_vehicles, 5
abort_early, False
methods, ['SPPRC']
max_vars, 100
time_limit, 43200
farley, True
ESPPRC_heur, True
initial time, initial max_it, max_stale_it
1, 20000.0, 20
heuristic Number of routes, heuristic Best Solution Value, heuristic number of iterations, adjusted time, adjusted max_it, measured total time
22, 521.0, 46, 1, 20000.0, 50.2
method, python time, total time, propagated dominance time, unpropagated dominance time, pricing_success, upper_bound, lower_bound, abort_early, num_paths, 
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, -249.7505, 0, 1454
Farley, 0.0, 7.1, 5.5, 1.5, 0, 521.0, 221.0008, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 521.0, -502.0784, 0, 1352
Farley, 0.1, 3.9, 3.0, 0.8, 0, 521.0, 184.2991, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, 46.1372, 0, 1176
Farley, 0.1, 252.0, 216.5, 34.9, 0, 521.0, 228.5088, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, -666.8403, 0, 1392
Farley, 0.1, 256.2, 217.5, 38.1, 0, 521.0, 228.5088, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 521.0, 127.8794, 0, 967
Farley, 0.1, 2001.1, 1707.2, 292.1, 0, 521.0, 228.5088, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 521.0, 129.2286, 0, 866
Farley, 0.0, 1414.5, 1220.3, 192.7, 0, 521.0, 297.1359, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, 47.8897, 0, 1334
Farley, 0.1, 853.4, 766.3, 85.9, 0, 521.0, 317.8586, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, 123.7533, 0, 1013
Farley, 0.1, 630.1, 549.5, 79.6, 0, 521.0, 317.8586, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, 260.919, 0, 874
Farley, 0.1, 1595.6, 1405.4, 188.5, 0, 521.0, 346.1678, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, 140.6947, 0, 804
Farley, 0.0, 1594.3, 1413.0, 179.6, 0, 521.0, 299.3425, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, -26.4526, 0, 1343
Farley, 0.1, 3069.4, 2642.0, 425.0, 0, 521.0, 332.4764, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, -31.2838, 0, 1018
Farley, 0.1, 830.4, 730.2, 99.0, 0, 521.0, 327.1929, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, 131.7485, 0, 1325
Farley, 0.1, 2707.1, 2353.4, 351.3, 0, 521.0, 300.3857, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, 256.716, 0, 945
Farley, 0.1, 3132.5, 2761.7, 368.1, 0, 521.0, 332.9792, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, 284.924, 0, 1219
Farley, 0.1, 2478.4, 2150.4, 325.7, 0, 521.0, 380.0516, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 521.0, -1479.6818, 0, 2349
Farley, 0.1, 34.9, 29.8, 4.9, 0, 521.0, 154.6097, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 520.7857, -200.3867, 0, 1341
Farley, 0.1, 644.8, 548.5, 95.4, 0, 520.7857, 257.2853, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 518.8024, 207.463, 0, 1070
