Instance, X-n411-k19
capacity, 216
min_trucks, 19
output_file, output_uchoa/X-n411-k19-SPPRC.log
Start date, 2022-07-03
Start time, 20-43-55
capacity, 216
num_vehicles, 19
abort_early, False
methods, ['SPPRC']
max_vars, 100
time_limit, 86400
farley, False
ESPPRC_heur, True
initial time, initial max_it, max_stale_it
1, 20000.0, 20
heuristic Number of routes, heuristic Best Solution Value, heuristic number of iterations, adjusted time, adjusted max_it, measured total time
314551, 19800.0, 20000, 1, 20000.0, 29233.2
method, python time, total time, propagated dominance time, unpropagated dominance time, pricing_success, upper_bound, lower_bound, abort_early, num_paths, 
SPPRC, 0.1, 78.7, 74.9, 1.7, 1, 19210.7434, 9734.2815, 0, 25212
SPPRC, 0.1, 34.6, 31.7, 1.3, 1, 19206.627, 10283.1581, 0, 22756
SPPRC, 0.1, 42.4, 39.4, 1.4, 1, 19202.3578, 12058.472, 0, 22627
SPPRC, 0.1, 36.3, 33.3, 1.3, 1, 19201.096, 12189.1682, 0, 22387
SPPRC, 0.2, 52.8, 49.7, 1.5, 1, 19200.0577, 9221.6769, 0, 24187
SPPRC, 0.1, 47.4, 44.3, 1.5, 1, 19199.698, 10901.3548, 0, 22752
SPPRC, 0.1, 50.8, 47.6, 1.5, 1, 19199.6122, 9309.4138, 0, 23850
SPPRC, 0.1, 84.4, 80.8, 1.9, 1, 19199.3846, 3125.2027, 0, 28886
SPPRC, 0.1, 27.8, 24.9, 1.3, 1, 19199.3688, 13055.8315, 0, 20489
SPPRC, 0.1, 31.2, 28.3, 1.3, 1, 19198.0497, 13034.1409, 0, 20838
SPPRC, 0.1, 39.0, 36.1, 1.3, 1, 19194.1791, 11531.813, 0, 22820
SPPRC, 0.1, 29.7, 26.8, 1.3, 1, 19194.1777, 12383.9957, 0, 21524
SPPRC, 0.3, 30.9, 28.0, 1.3, 1, 19191.7872, 12096.3026, 0, 22530
SPPRC, 0.3, 26.3, 23.5, 1.3, 1, 19190.7065, 13140.7651, 0, 19973
SPPRC, 0.1, 31.8, 28.9, 1.3, 1, 19190.4563, 13229.9616, 0, 20039
SPPRC, 0.1, 26.4, 23.7, 1.2, 1, 19177.4915, 13489.3166, 0, 18618
SPPRC, 0.2, 38.7, 35.6, 1.4, 1, 19163.5534, 7436.3678, 0, 25612
SPPRC, 0.1, 32.8, 29.9, 1.3, 1, 19163.5534, 12442.4534, 0, 21513
SPPRC, 0.1, 33.5, 30.7, 1.3, 1, 19160.5955, 12804.0271, 0, 20236
SPPRC, 0.1, 30.1, 27.3, 1.2, 1, 19150.3515, 13127.7307, 0, 18947
SPPRC, 0.1, 30.5, 27.6, 1.3, 1, 19141.2958, 13850.9927, 0, 19518
SPPRC, 0.3, 71.5, 68.3, 1.5, 1, 19130.8961, 5510.8998, 0, 25479
SPPRC, 0.1, 30.4, 27.6, 1.2, 1, 19129.4297, 14115.5875, 0, 18341
SPPRC, 0.2, 51.6, 48.4, 1.5, 1, 19109.094, 9270.7431, 0, 27500
SPPRC, 0.1, 34.1, 31.1, 1.3, 1, 19106.4093, 12692.0346, 0, 19738
SPPRC, 0.1, 28.0, 25.1, 1.3, 1, 19100.5864, 13686.1445, 0, 19365
SPPRC, 0.1, 48.1, 45.1, 1.3, 1, 19099.7464, 14377.9089, 0, 18522
SPPRC, 0.1, 47.0, 43.7, 1.4, 1, 19089.9107, 13145.2641, 0, 16640
SPPRC, 0.1, 44.9, 41.6, 1.4, 1, 19089.5282, 14584.1828, 0, 15904
